Team brjFEj: 1939652216 points, rank 1
Team ZXGVYONnZIGqyhwDLrld: 2114999096 points, rank 29198
Team ZqRhnpXQOE: 1406666361 points, rank 126287
Team NrCJHWiUflvkuVXuSwtd: 1213489632 points, rank 154282
Team qUGQIVPnYfTtmMI: 742755214 points, rank 223138
Team uzqttKyMjD: 2065752211 points, rank 35523
Team rrQtCMAu: 941338607 points, rank 194239
Team yQQgww: 1055106064 points, rank 177468
Team fCJqDqntymWtx: 1288880847 points, rank 143424
Team aVWeFzPXU: 1314759678 points, rank 139693
Team umjVM: 1349582705 points, rank 134613
Team rknwYSbT: 833255725 points, rank 210055
Team xzgnxXGkoqWdnYd: 554535804 points, rank 250137
Team pgbig: 1888966665 points, rank 59014
Team ImcnYuLmu: 1380146764 points, rank 130182
Team zeaHTcUZAwwXSJmMp: 163451715 points, rank 303776
Team CCdnmsgAAuhWLf: 2126955677 points, rank 27599
Team xnFjmveaXwOqEV: 886314507 points, rank 202377
Team yLEsMBNtIPned: 432073775 points, rank 267211
Team mWyKlagqmhEP: 2041047895 points, rank 38747
Team QBmVUMUVXSi: 1039458546 points, rank 179778
Team aQqdWMnXrUiLNVE: 1959735215 points, rank 49454
Team BlYioXp: 1363350379 points, rank 132606
Team XcdjCSdgUpQRzDHx: 1815342634 points, rank 69061
Team uhJTKsB: 1150376503 points, rank 163664
Team LJrxNRZNfkOZRdyBdXFd: 1487819085 points, rank 114680
Team UpdJflEA: 1732275935 points, rank 80446
Team tlcrGshRtFJdP: 766479471 points, rank 219741
Team aCvaPCQktUlg: 553360097 points, rank 250351
Team oBpeWwPGAAPCw: 805030083 points, rank 214130
Team RtxvNWmltjqBgzQSOnsW: 1198395272 points, rank 156617
Team EKaIJlVqziigpquAxmqa: 2676321630 points, rank 10677
Team UTnhbhrIpYifhghmFi: 1116457482 points, rank 168522
Team ewFsI: 930981594 points, rank 195818
Team qvwFIQdmqJDN is ELIMINATED
Team oTlwNwMYWdgpoLGBc: 1941835415 points, rank 51845
Team QDiOGfWHbsyoQmq: 465838989 points, rank 262590
Team BQIOiaMN: 1140589508 points, rank 165104
Team ufTxk: 2046615310 points, rank 38025
Team CPvBAL: 1213699934 points, rank 154334
Team KWupqfd: 1419297818 points, rank 124616
Team JAKWCQWTK: 1836932997 points, rank 66101
Team UgpnntvuJqjxOjyzpJ: 1070406335 points, rank 175372
Team uRtxLUCDzIQ: 1171466410 points, rank 160615
Team gaVTKvWhvKUnPxA: 853391958 points, rank 207263
Team OIOoGiQIBIMWhrvUlL: 24103010 points, rank 322270
Team GALTzoiONnobYTKURhkR: 410540169 points, rank 270332
Team RywAZnaolLBb: 2836880922 points, rank 7838
Team SMqgXjSSGTin: 1697910512 points, rank 85113
Team dgNIXUWPwBwrKA: 279788834 points, rank 288257
Team vwntSLEXMsXcnzoGa: 353060203 points, rank 278199
Team ctCFHrMOfzNxOIhR: 55183430 points, rank 318248
Team OxlXuYmvDVuy: 880689637 points, rank 203307
Team TXseImYupOSQ: 2029032423 points, rank 40370
Team aJuHfEdWCgUBtiFhxsW: 1231346823 points, rank 151817
Team LXWzHOjvn: 2460788743 points, rank 15665
Team kDAdElCDFakHu: 1384529477 points, rank 129609
Team pdVXYxocUuw: 1052304527 points, rank 177985
Team PbTjbCGN: 2180312148 points, rank 23883
Team sfzkmxvyT: 987542941 points, rank 187595
Team lNQvZOUvQCfFLMcZs is ELIMINATED
Team kJgcYznVZgogGJdoTT: 3121747139 points, rank 4028
Team nhCDxm: 991379762 points, rank 187053
Team iIevvRJkkW: 1442982497 points, rank 121143
Team icgEjZBgZ: 1713164470 points, rank 83029
Team DTgVIPbwUg: 558244322 points, rank 249782
Team SToRdOoKGcuRApIutX: 1010450830 points, rank 184247
Team nZjGaOOpIgOsnF: 1965106936 points, rank 48778
Team eTrKLyYattmYtVgLaEs: 13428866 points, rank 323746
Team jgVVbyaBBVJTvUNxvmV: 2139642785 points, rank 26022
Team KvArzCULiZIVBCdrc: 718745589 points, rank 226783
Team BzkpIADr: 2175016811 points, rank 24069
Team ZqNJeteIEwZZ: 259482636 points, rank 291119
Team oJLywXeIifXUjhGu: 2580430331 points, rank 12689
Team BconryLiAFpDKRDt: 1789877544 points, rank 72532
Team PTHIEoPLb: 900929802 points, rank 200325
Team llsTuXC is ELIMINATED
Team ZLVFauUmrZXzXCHILVJ: 1675002312 points, rank 88312
Team pEfYMf: 1258923673 points, rank 147859
Team KTbRq: 1632340000 points, rank 94251
Team eNyaSEMDjTQvyJB is ELIMINATED
Team MAsPNTspaV is ELIMINATED
Team TYZCnQCirFVXoDtBMlhK is ELIMINATED
Team zvgpSu: 2023983396 points, rank 41074
Team aCottWpCqxe: 299824718 points, rank 285555
Team bUMFxOkeTrIfnsCnVIR: 224438069 points, rank 295949
Team CssrNEz: 133422339 points, rank 308007
Team RLVWVTBi: 1057887482 points, rank 177234
Team NlcpwCTYHl: 1000235120 points, rank 185791
Team JIjtL: 645487021 points, rank 237327
Team IlxFBaxOzzzcTJsPvUD: 1852856666 points, rank 63875
Team wwYWsVTyRAglNRnBzDpu: 2133149700 points, rank 26857
Team sVyCoFvJllxNlfUm: 363078545 points, rank 276979
Team IrsTJfdWjAsB: 1632789225 points, rank 94209
Team fVVpxiXmKh is ELIMINATED
Team XcTiW: 3280565071 points, rank 2630
Team taJRFbYaHjKub: 478361314 points, rank 261044
Team eiLxVhuuhjDFFfq: 1738536832 points, rank 79672
Team ajtPq: 1349500240 points, rank 134748
Team drQKnLvb: 1137572243 points, rank 165627
Team VkpAfxavO: 967191891 points, rank 190603
Team NvGijstVdL: 1827165370 points, rank 67470
Team ZfzTYiDXtfjv: 680396790 points, rank 232385
Team sLgzNDYGRjAIA: 195516755 points, rank 299825
Team YzJMWtsNvsqbXLSpcIY: 1571473649 points, rank 102898
Team RwMegxFZcJwMLPfCvBJ: 884879878 points, rank 202806
Team XcBDJGWoZlbmiQ: 373372662 points, rank 275603
Team kCgquIPloLNbFvhVdcD: 405270313 points, rank 271228
Team jOioVvH: 1742833714 points, rank 79088
Team CzkOWARb is ELIMINATED
Team akAfXMtbNf: 246038333 points, rank 293134
Team LhxSCUrGYkfUsvknFpK: 2075786512 points, rank 34292
Team TmCYthBNLbkWh: 1023964997 points, rank 182258
Team JkrzxeJQrKcs: 1655336611 points, rank 90991
Team ftTDMjeCNGmwGNNi: 215360947 points, rank 297250
Team hDCCFz: 889785341 points, rank 202076
Team FLFRIPLxVfKR: 149630664 points, rank 306036
Team CbgBbiDBrLFXCymawNdY: 252157837 points, rank 292267
Team TvaQBEfBnuYHHFhdGys: 158682498 points, rank 304791
Team ojbvvCWWQdeAGvXEdv: 26194062 points, rank 322273
Team TnlfNLnRuxtMLbdyf: 1155047824 points, rank 163168
Team ISEqCDfyqRJwo: 1650875193 points, rank 91609
Team NXUqkehhyDfXg: 1867068605 points, rank 62050
Team GmpegxmEqmo: 1482434033 points, rank 115590
Team LjtKXhZYopTcBKCE: 1683440080 points, rank 87211
Team rzxlgzfkDSsAWPehcjT: 474409532 points, rank 261706
Team uYIvmtpxOnWYapMnOZnE: 576057334 points, rank 247427
Team DOxwHkLvlAWRsVZbKS: 563714934 points, rank 249167
Team aILkUFzMLlFPAvhgV: 440623198 points, rank 266349
Team ZEyEfM: 2065771818 points, rank 35571
Team RdZlLSqjGlLRBCG: 2051696695 points, rank 37401
Team QwYXPKt: 1437170560 points, rank 122068
Team DcLbHyD: 2093744146 points, rank 31963
Team MoqbsvjfXxQFn: 1259537285 points, rank 147875
Team taffrgaRpgvb: 1557079449 points, rank 104980
Team dfGOoElkS: 3423961192 points, rank 1660
Team fwtsCttaukDZ: 1161894817 points, rank 162206
Team tjpUiphEZyTnAgFLiCP is ELIMINATED
Team lOzKtTyCcMiydLp: 1722465887 points, rank 81830
Team lHJEoVtW: 829896098 points, rank 210859
Team TBvkE: 1473340810 points, rank 116916
Team dTwVNRSJMFE: 526760803 points, rank 254420
Team LqSqOFtNa: 1062122875 points, rank 176746
Team JzGTs: 1578572931 points, rank 101934
Team hXkLnUiqtpmwyQiVBi: 1817741369 points, rank 68818
Team mvvoRDbVoJcq: 1922351873 points, rank 54499
Team YFuqVZ: 1539436816 points, rank 107459
Team gacbJuLb is ELIMINATED
Team fUxapSkFqVUVAx: 865865734 points, rank 205712
Team WldqPXzLqYrgtDNQJ: 593405653 points, rank 245000
Team qpRiyXVVMCGwFAbCavyp: 1628141807 points, rank 94928
Team iTpfrxslnN: 2045071193 points, rank 38294
Team CTitQoIxWjxSrJ: 623094066 points, rank 240785
Team mZWqyQXjS: 407913810 points, rank 271005
Team jfaZgamVVe: 1922818542 points, rank 54460
Team kddwtXGQAeQTCV is ELIMINATED
Team gbNyzxExESar: 2418452996 points, rank 16771
Team KwBKXDnxeoQH: 797833244 points, rank 215516
Team AXIlBKUB: 63061856 points, rank 317509
Team HyzNaBDFKBNmBVD: 1527365042 points, rank 109239
Team vzflMCQekDU: 869705617 points, rank 205191
Team CLODTtIbzAWLFMmkA: 1259866852 points, rank 147881
Team wpKhL: 1843446653 points, rank 65282
Team UqCRiGolObPacPB: 2490899126 points, rank 14901
Team HTiRJyPaGjJIjpU: 329020852 points, rank 281855
Team EWxuDADMopOnTQnYQ: 3303984088 points, rank 2450
Team QigJMjYhYVM: 1596217655 points, rank 99495
Team mEPTqUjjqgQHjxKSVV: 1373507054 points, rank 131336
Team ruKWort: 1299216647 points, rank 142161
Team FINvfDceCVoCw: 1627300625 points, rank 95049
Team hwitzxAWAqtFbOZtPI: 2236839728 points, rank 22091
Team jOzzIPLshhNboImA: 992715925 points, rank 187084
Team MxCTWzCcUu: 506980202 points, rank 257311
Team mxuajzDU: 946353895 points, rank 193853
Team NtyLtmJtyZn: 596394504 points, rank 244665
Team bAbcUaVHPxKeRKTrLS: 1744253294 points, rank 78976
Team zAzARvjlnruDAzDoP: 2289793228 points, rank 20418
Team FSKPzJooHLv: 643378611 points, rank 237894
Team BQfkt: 330067412 points, rank 281745
Team ewPhpKOIkfrgeWBy: 2101870557 points, rank 30951
Team NwgoYwgb: 910687909 points, rank 199089
Team aGERAVLbdSJYtkXwNSfJ: 840003607 points, rank 209473
Team ghaXbzxuPTFqX: 1846939181 points, rank 64789
Team PjCqVQfLQPwBce: 1349935088 points, rank 134807
Team ONJFPBpAdAy: 590964321 points, rank 245449
Team UuzwjHXGviXRSNEAVOHo: 1865785391 points, rank 62246
Team poSgeCIyuZLqMhA: 1181656624 points, rank 159338
Team kRFYHAuJHFVHGw: 1239669643 points, rank 150915
Team BRWPJyrvYxQoxJdDjjkK: 1747057255 points, rank 78599
Team FDkImdLHzZzChhQPvW is ELIMINATED
Team rsnpyvQTH: 1493917622 points, rank 114043
Team uKtxtKePhDaSOqx: 1840037409 points, rank 65773
Team KlvPFcoCpDTsJKEQCriS: 1377995545 points, rank 130748
Team bgRzimZXqXc: 703417869 points, rank 229328
Team pHgomVEGQ: 1690438524 points, rank 86300
Team MWKqSFCdZgyj: 770503455 points, rank 219526
Team HqXkcuUTbSwjovOPb: 3933561824 points, rank 123
Team jwVBZPBgAmB is ELIMINATED
Team QYOBDmRoyvPJjmVpg: 988093690 points, rank 187816
Team sRBlIZJEvlYjtJCbw: 991042640 points, rank 187400
Team XSyUrBlIrNfPEmUETq: 1767546564 points, rank 75750
Team tkGMTiSQkNOK: 832542761 points, rank 210646
Team SUlRtRp: 222837834 points, rank 296554
Team JscsEfU: 188918345 points, rank 301035
Team KtxMB: 772355759 points, rank 219265
Team usVtPhGDSPtZu: 41988818 points, rank 320615
Team InnqSuwEKUba: 1239740509 points, rank 150937
Team PRCzKlGfWoxv: 1904499479 points, rank 56961
Team rqVtwpG: 715311911 points, rank 227697
Team lJUoeHHVx: 930563639 points, rank 196293
Team zAQBzjwmLHbmjs: 318819420 points, rank 283422
Team CcmPLNgTfcUEtdGikHyy is ELIMINATED
Team oTEXnkUjHtHHNUuqAH: 256683562 points, rank 291998
Team lSdLCJ: 220656825 points, rank 296910
Team thiBahMQzMWVkZ: 1330226559 points, rank 137797
Team GqQWwuaD: 3183758991 points, rank 3438
Team GZWmfF: 979934024 points, rank 189071
Team ESzCdzuFgYXhDXBzZA: 1297381833 points, rank 142535
Team GpxJMjEzprPdYdv: 2989003085 points, rank 5592
Team kKGIhTZIhbsH: 1262064900 points, rank 147652
Team JDnqHrO: 1319284850 points, rank 139352
Team DdVZKLfsLN: 294763240 points, rank 286746
Team YSMmKvaKdhPqqbcm: 1429065143 points, rank 123478
Team XFWURpCXAaDDtpjpvVuf: 1538722041 points, rank 107650
Team iBZlyNUSwYWTpQ: 2231090589 points, rank 22298
Team iXooJfryZwt: 293278442 points, rank 286993
Team MQzznX: 1664704316 points, rank 89829
Team iUPEDgwYM: 1864402852 points, rank 62463
Team inUDWrCMknFHWoOOu: 252229815 points, rank 292677
Team lniyVmQDZoRKfueM: 585602373 points, rank 246415
Team shDPtL: 1204211694 points, rank 156147
Team TNWQzNOI is ELIMINATED
Team PGnkImJwGLhaNooL: 2249135349 points, rank 21700
Team vpQHvBjzrO: 1217010237 points, rank 154180
Team NbLdBVGPSI: 305268237 points, rank 285328
Team kXFhLimIlZyoROtDTqaM: 42643307 points, rank 320653
Team ybNdJejxwjduO: 2728692351 points, rank 9695
Team EuheHarUTbk: 2012780371 points, rank 42615
Team lUHpfotxoGLZPTXlN: 424616128 points, rank 269003
Team whwHICg: 1669876415 points, rank 89156
Team eDBjSjeqXpTz: 3424471269 points, rank 1660
Team KsDTUpNo: 1301486537 points, rank 141974
Team KDfjmOjMuHWEZAXbWmI: 141648853 points, rank 307536
Team vFyscPlNLFdnkcerfc: 704388410 points, rank 229333
Team KrcRC: 1126278518 points, rank 167553
Team ATrCiqwImFPjmnaaOn: 193873063 points, rank 300549
Team JNVVwdO: 2061374490 points, rank 36208
Team HKbSLVFT: 1304382209 points, rank 141559
Team XTfmk: 994923158 points, rank 186914
Team dSxZhBBfF: 1926072275 points, rank 54077
Team gpVhklDCmN: 178334397 points, rank 302670
Team AKsdBCZxipgz: 98041247 points, rank 313358
Team xMTUJmmGUI: 370153547 points, rank 276539
Team LatFplICsrKfhwBXpuN: 8728095 points, rank 325125
Team PUtjUiwsOycBBT: 1056596567 points, rank 177794
Team WuzwVIdTmny: 2030243184 points, rank 40289
Team totTghO: 2718404511 points, rank 9873
Team VKagQLNTixnts: 2106547051 points, rank 30361
Team AEWRouGqQtcPZ: 2098229139 points, rank 31433
Team DBtbvMZONY: 1179236023 points, rank 159839
Team SbLgurbdLXiCKBhFuAh: 600093827 points, rank 244438
Team XsjwPTHmPHOFKR: 3354556794 points, rank 2111
Team vAdpyyIzPTeyPDdzPg is ELIMINATED
Team oMaANXDogovf: 2130593374 points, rank 27246
Team ugIGc: 1252786089 points, rank 149131
Team fjmcOrSSloItZbLEKQw: 299725845 points, rank 286246
Team JzDEblafhsmGcRfQHjp: 1025296139 points, rank 182445
Team CZWcaADy is ELIMINATED
Team nUFCBoSSXZXVfMiXa: 1030995168 points, rank 181610
Team JngeeFuxcytI: 1287703531 points, rank 144020
Team xkMxVdgUSTvahp is ELIMINATED
Team IzWnQRMmwfTAxK: 522000404 points, rank 255595
Team azcokaaswt: 734786508 points, rank 225030
Team LIHAyQiTh is ELIMINATED
Team vsSxSaLqlx: 54830371 points, rank 319205
Team EKdWeifPDZgYznLa: 2151012406 points, rank 24958
Team IoWJWqvY: 2505435423 points, rank 14555
Team sEVgCYVQIcaKzsrE: 2030603066 points, rank 40250
Team yRfpJfeXqnntXSx: 414213722 points, rank 270629
Team qJTWVUmKihZgGlPbXHk: 1036795543 points, rank 180775
Team JSPIeCuCdk: 184885077 points, rank 301945
Team wAfhLuKIgwPAEb: 1436555122 points, rank 122398
Team aGRDy: 329688076 points, rank 282236
Team kRPDWxe: 88643160 points, rank 314758
Team YRYjebnpergXrJZUOcP: 592037846 points, rank 245647
Team xDowEpgsuLAoeTnFsv is ELIMINATED
Team AXblcjsVZK: 1598142986 points, rank 99368
Team mCsGGKCZaKJ: 367601707 points, rank 277046
Team QljdjRQIByaYWHHiR: 341390596 points, rank 280643
Team MbzevnHgkyJmqcXAD: 1087852904 points, rank 173267
Team PQDLa: 1605126897 points, rank 98364
Team mxteXuPuZXJXkeAZe: 1857380927 points, rank 63443
Team CURXMq: 537951867 points, rank 253356
Team yphcqJRNOBvDy: 1068209186 points, rank 176211
Team hBIFCyeToxm: 81083737 points, rank 315777
Team LBbfQSGesINxl: 626997125 points, rank 240680
Team UuhqreTbsPjkr: 256766823 points, rank 292338
Team djcffqPzcujCAqMLuB: 214314105 points, rank 298132
Team wSHWZzAZmIpuVITzpH: 327482545 points, rank 282602
Team qWxeTzKuXNaAEAA: 747045396 points, rank 223342
Team VyAreIaRAT: 1605418847 points, rank 98334
Team yuUAWCvwWAISSCUL: 1692858335 points, rank 86089
Team pYbvvexdBkwcxEwYQMc: 1623091875 points, rank 95816
Team pHOYEBZgkIJvpPNyEuFe: 1370406982 points, rank 132029
Team NIcQbekjTNvs: 1080858433 points, rank 174375
Team zMwVGwDRboxAdPJGW: 202038912 points, rank 299825
Team EueGTXFhk: 1995927450 points, rank 44903
Team syiCcPf: 75002620 points, rank 316677
Team KBZvBWnKzsYZ: 1937801326 points, rank 52561
Team mYTcZIlnueerseBbZ: 1103462445 points, rank 171021
Team TVErTVbAWesvtwzzzge: 1873970274 points, rank 61309
Team vbdINo: 1372632497 points, rank 131709
Team xyEBiNrRMgVUkWLvoV: 2124017072 points, rank 28088
Team gNQkFCXjbyraXBGn: 974704271 points, rank 190076
Team FGRqTQqXyX: 189963393 points, rank 301402
Team FJIBDvckVmeQsvbF: 960443500 points, rank 192195
Team jMfbEmWnuwgBUZn: 2194527310 points, rank 23484
Team lLHQzWUrPYZUgNFPZHoD: 2000357275 points, rank 44307
Team luzxqcU: 401065366 points, rank 272624
Team mQNQlDBnbqxGsxaUZqq: 668436634 points, rank 234775
Team mQBFVkwyIm: 543049565 points, rank 252783
Team dPBwCaryt: 711383294 points, rank 228592
Team HGWFViyiKCnKOqz: 490260203 points, rank 260168
Team bStvSlpzFTLGZ: 1788158668 points, rank 73007
Team jwzWzeeomnEG: 290438968 points, rank 287832
Team MmzCFwj: 916915975 points, rank 198589
Team aoDHgVnJDcHIcbcGX: 1404925557 points, rank 127037
Team BrUMToypfKR: 1291247239 points, rank 143656
Team zlaPxhQjQo: 223795330 points, rank 296991
Team dWGTcHKRRJbcv is ELIMINATED
Team XdoUPcPPDEDT: 898069252 points, rank 201408
Team DGBBgZbTNgIdTa is ELIMINATED
Team wwReFjgbLA: 323727202 points, rank 283227
Team qLgcyjXolUoHTLWbEVt is ELIMINATED
Team EGfuN: 496322535 points, rank 259361
Team YhFglqqPCLJfYzO: 20551958 points, rank 323940
Team bYmqgKeXhFHCM: 1387008175 points, rank 129689
Team umTFD: 1036537048 points, rank 180961
Team PxUxDXI is ELIMINATED
Team XAzWpARtzhJVwgycdveM: 1810724567 points, rank 70009
Team zKvUeTHkIhsD: 3041351536 points, rank 4964
Team QhNQAvQh: 1823786568 points, rank 68122
Team kxqnxJu: 567193011 points, rank 249390
Team KpkDF: 2232778681 points, rank 22282
Team Tzptzem: 1353341291 points, rank 134584
Team MUGlv: 1940666224 points, rank 52185
Team oxBbzypFZoITKREWj: 921985370 points, rank 197931
Team lwDRTLBBw: 732784696 points, rank 225533
Team KYBVBZorUZMAmUuMhrO: 360739000 points, rank 278260
Team VbUfaddEWxwBXn: 800995137 points, rank 215568
Team brcCjmRN: 372803878 points, rank 276564
Team mPQdHCDQKJ: 107502215 points, rank 312586
Team IqvSIcoypwxTfx is ELIMINATED
Team wmRfjhjDHfxcQDbQcAx: 906622792 points, rank 200182
Team eWqdbsuvXfDZtpMnQgfl: 2089111585 points, rank 32657
Team HGmvXdeBHoQQdJtk: 1784086980 points, rank 73629
Team mECDJdNJSe: 1631805847 points, rank 94656
Team vyaGTdeipVxNRUNuC: 1990380235 points, rank 45680
Team hyCRmJfIHqJM: 865143726 points, rank 206395
Team TgeCaFSjtvDOLbCz: 1406845852 points, rank 126814
Team ozmOJj: 1695515945 points, rank 85752
Team CLyNmsLMVPB: 1985029033 points, rank 46364
Team lpWDVNbiYwqPRqbCud: 1641486318 points, rank 93252
Team CJFZTqxVdgbHFwyhHNG: 573842463 points, rank 248507
Team UYpbJItMXLOhzKxkuX: 1810171403 points, rank 70093
Team vcwaOtceHSZhPuPLxRqq: 1794058703 points, rank 72229
Team JvCLvRjVSjGOKiUT: 1249149307 points, rank 149892
Team gRMUtpUMOPFzqsBfPkh: 870245851 points, rank 205674
Team YotQNxpqnU: 1733019089 points, rank 80692
Team LYyNRs: 298469298 points, rank 286805
Team VRbhoBj: 891499990 points, rank 202467
Team dUneMzuB: 860780703 points, rank 207068
Team ZDmbqrflbnGLzndyMHiq: 1503958609 points, rank 112866
Team rmqVpnobasCjM: 1797180320 points, rank 71833
Team GpHmVXsvYCQUwGGAU: 2203206125 points, rank 23223
Team fmAhjQOgCAMwn: 1785705249 points, rank 73409
Team ZwWzrZGYVBbsfaTLOd: 1112632131 points, rank 169805
Team QRHFnB: 1329258566 points, rank 138200
Team tacYaHEGtbwcUBz: 491841650 points, rank 260109
Team cXPiOcSaHFqZOjgcO: 1043681978 points, rank 179939
Team ShOTFufydaw: 107313091 points, rank 312702
Team sebGMyVuHy: 2031902682 points, rank 40132
Team xoOaDrFUQFGMl: 489863776 points, rank 260392
Team tAqdRXaVUuWHcWg: 2115967948 points, rank 29214
Team amFnCRi: 1592611582 points, rank 100290
Team MnKzygaSwucX: 721937719 points, rank 227228
Team orpBdewVdRy: 849410470 points, rank 208727
Team iLFByVcVaXxwLkGbh: 1237834531 points, rank 151534
Team eLjStFQClg: 598951134 points, rank 244988
Team rhGmhraVZk: 54888562 points, rank 319644
Team WDkYublik: 1310211528 points, rank 140970
Team wWpGrTyjedvVcwui: 2049753170 points, rank 37775
Team hyQiXJxSZSLhNBwmsfxH: 2091243560 points, rank 32389
Team WrMwQJHVe: 1486634272 points, rank 115356
Team VcTwVyksVI: 762214119 points, rank 221338
Team jDJlyoPFItAsn: 2260207283 points, rank 21383
Team VFxbTAImHcttJxsCGD: 883348944 points, rank 203769
Team wYmCks: 940286711 points, rank 195345
Team CPZpn: 302466757 points, rank 286330
Team YLVfDozHPWtKumpJDY is ELIMINATED
Team fIhQkNwqjCmr: 388019630 points, rank 274702
Team WccdKWtE: 1975930525 points, rank 47533
Team rOMactUWUaaGBcdBD: 1813075681 points, rank 69691
Team biAbtvttxbbTKLmMzh: 961332851 points, rank 192256
Team CbkQDCOHHJ: 1432280416 points, rank 123255
Team XyXcplv: 1474071827 points, rank 117210
Team fBNgaIxopmsGdnfbsKZ: 178098327 points, rank 303350
Team OBdHpkhdYhYpDJwv is ELIMINATED
Team ldOrICDUCjdttu: 1263886725 points, rank 147740
Team NzcCYGSOhXYo: 1096880153 points, rank 172212
Team Cxujvxf: 248900824 points, rank 293835
Team VhLNZ: 1799930015 points, rank 71516
Team KrefoZ: 1981468703 points, rank 46842
Team hWFqtgvtcwrY: 2025103397 points, rank 41081
Team wrjMiWZOJJMdGaILLHi: 2271604806 points, rank 21044
Team PYHoHkq: 822066927 points, rank 212739
Team tNvnSy: 899656760 points, rank 201377
Team JCxDTiGxpUJPVEwjC: 962873536 points, rank 192051
Team oRpFzEdBrYcRO: 1380254772 points, rank 130810
Team wHtvBYmrJXgMVbPXRJHS: 1977317017 points, rank 47363
Team zMqeqEQvvvYbPI: 2033243343 points, rank 39977
Team JnngBomAbuDyQLzGaH: 1284429672 points, rank 144778
Team leNUKoiAwOEZByROOfu: 457819583 points, rank 265003
Team anDgoJBkqZ: 1384012712 points, rank 130260
Team oYgsldbuNstTn: 2780786610 points, rank 8832
Team ZNNKSpFPwIfDh: 577002556 points, rank 248253
Team ZoczuKfsiNIu: 1466142259 points, rank 118399
Team IaWaf: 1489294757 points, rank 115067
Team XJbzKhCGzYNnRaarMA: 1322800251 points, rank 139237
Team wuJclRh: 621252221 points, rank 241931
Team rbYirEi is ELIMINATED
Team kSDiVlHxFyJNOamS: 733712435 points, rank 225645
Team VwmeCduoXF: 1447666807 points, rank 121043
Team aWXCRXkiTCD: 2480573674 points, rank 15261
Team kzNlSBOjLpUyZfKImKF: 884032744 points, rank 203793
Team TwUJtKq: 1743409950 points, rank 79332
Team pyDYFDMdDAJZ: 2089972482 points, rank 32577
Team LoeqlmjdomHck: 2368791379 points, rank 18195
Team mJIvoJmVtit: 1778712541 points, rank 74464
Team rNLIQwYWMe: 933532121 points, rank 196441
Team DtAowDVEyh: 276344209 points, rank 290169
Team pdIGaMQRB: 652612955 points, rank 237391
Team mgSHctaClT: 468325181 points, rank 263605
Team UiWxIyS: 1753015849 points, rank 78012
Team fRBHbMIEIfyiLzBLZu: 366897692 points, rank 277689
Team wlIwlQSXk: 528139570 points, rank 255229
Team pzADTlPBtbsHQiZTxZlo: 2010884848 points, rank 42982
Team SaWFWgrwfBb: 59348088 points, rank 319278
Team sboiSGzjsXTzPFcxllb: 2228863866 points, rank 22431
Team rlapfz: 1986782458 points, rank 46185
Team IxhwTFp: 2133106803 points, rank 27003
Team OjAjBeKNvMkNND: 1431731690 points, rank 123433
Team gfZLYFb: 873294307 points, rank 205429
Team DRyPmezvl: 1979045352 points, rank 47174
Team nRzrFPTvxVTtuQm: 504978935 points, rank 258526
Team gpfiWRDIvVhLeDo: 718533793 points, rank 227904
Team hxlPb: 258745864 points, rank 292662
Team xxgGTtwZmHEfrPNVv: 1116532350 points, rank 169387
Team vOIoQKCaZvfffWG: 662162706 points, rank 236073
Team ULcJnlTqXR: 1554387410 points, rank 105746
Team dUBxZqjsZZ: 40156607 points, rank 321935
Team gEjwjnFahG: 1464818934 points, rank 118628
Team aYrzCNFjcR: 1382619165 points, rank 130550
Team KyVdBCKrddjpby: 26540546 points, rank 323662
Team ancBOpT: 237836078 points, rank 295586
Team gjxVSRCOs: 936937433 points, rank 196014
Team JzSxgGUTcEkfncZyV: 1320857385 points, rank 139551
Team ZurtFktswIbmXICqIMC: 737313043 points, rank 225188
Team KgXChDpVbCGUBtePY: 1189204685 points, rank 158798
Team keVCBoOQoDmEGmIVF: 2407625504 points, rank 17113
Team Eikgn: 1130560748 points, rank 167466
Team yrUjZRNrbYlPqeWB is ELIMINATED
Team EsJgFfWGDWWzOsPr: 1344987171 points, rank 136057
Team OnvLKXMtdX: 1290495036 points, rank 144010
Team ONKIwfuoa: 1831575455 points, rank 67167
Team pIgfCrGIXCQoSF: 2367538018 points, rank 18228
Team EsMszo: 1907768517 points, rank 56692
Team Wyula: 2076487149 points, rank 34345
Team RwVsKYeXKapTU: 367801510 points, rank 277682
Team VujmYAGAGzI: 1988032749 points, rank 46044
Team kMLZxJucU: 9106283 points, rank 326068
Team tbQAMNI: 408370195 points, rank 272117
Team cipmsqOhNXPHLrP: 1265256233 points, rank 147680
Team gtDZLLBOxok: 799049179 points, rank 216239
Team TUOivky: 1123543980 points, rank 168484
Team jQmQeSmOeJkuknR is ELIMINATED
Team FKsDX: 1191521452 points, rank 158499
Team xsYlIXkXwife: 1280601615 points, rank 145481
Team KGzUbvXmxVDIEWVAUFl: 1196774574 points, rank 157748
Team PHdycfKyWFVnOHNUiQ: 1839632030 points, rank 66080
Team TJZcjlwDzxvNlujzeFd: 1956589400 points, rank 50151
Team viXMnCqHaTQzOvVURBPl: 1430280913 points, rank 123739
Team pQmoTxOSXDtyIYdYg: 430249993 points, rank 269071
Team YFbzHSnMgPbW: 1392417171 points, rank 129095
Team iQzXpwCF is ELIMINATED
Team CjEvZQAZFLNXCq is ELIMINATED
Team PHgRD: 2436582303 points, rank 16387
